company_name,exp_req,job_desc,job_title,keyskills,links_detail,location,posted_by,posted_on,salary
Symantec Software India Pvt Ltd,5-8 Yrs,"The Ideal Candidate Will Have Tenured Procurement Competence, Strong Business Acumen And Experience In",Category Specialist - Global Procurement,"Category Specialist, Procurement, Sourcing, Data Analytics, Analytics",https://www.naukri.com/job-listings-Category-Specialist-Global-Procurement-Symantec-Software-India-Pvt-Ltd-Pune-Chennai-Bengaluru-Gurgaon-Mumbai-5-to-8-years-220918900007?src=jobsearchDesk&sid=15376475157970&xp=23&px=1,"Pune, Chennai, Bengaluru, Gurgaon, Mumbai",N/A,1 day ago,Not Disclosed

Confidential,5-10 Yrs,They Should Work Closely With The Senior Management And The Technical Teams In Creating Detailed Scope,Lead - Data Analytics - Forensic & Fraud,"Predictive Analytics, Sas, Data Analytics, Data Quality, Data Analysis",https://www.naukri.com/job-listings-Lead-Data-Analytics-Forensic-Fraud-Confidential-Mumbai-Bengaluru-Chennai-Kolkata-Delhi-5-to-10-years-300718007837?src=jobsearchDesk&sid=15376475157970&xp=24&px=1,"Mumbai, Bengaluru, Chennai, Kolkata, Delhi",Amit Arora,53 days ago,Not Disclosed

Eygbs (India) Llp,6-9 Yrs,Experience In Managing Multiple Concurrent Initiatives From Multiple Regions Or Clients;SelfDriven And,Assurance Data Analytics - Senior,"Data Analytics, Process Improvement, Business Analytics, Excel, Spss, Sas",https://www.naukri.com/job-listings-Assurance-Data-Analytics-Senior-EYGBS-INDIA-LLP-Gurgaon-6-to-9-years-140818900285?src=jobsearchDesk&sid=15376475157970&xp=25&px=1,Gurgaon,N/A,34 days ago,Not Disclosed

Hr Synergy,8-11 Yrs,Flexible To Work In Different Time Zones And Travel As Required;- Proficient In Using Statistical,Assistant Manager - Data Analytics - Big4,"Sql, Excel, Javascript, Xml, Sas, Spss, Data Analytics, People Skills",https://www.naukri.com/job-listings-Assistant-Manager-Data-Analytics-Big4-HR-SYNERGY-Gurgaon-Kerala-8-to-11-years-290818901989?src=jobsearchDesk&sid=15376475157970&xp=26&px=1,"Gurgaon, Kerala",N/A,24 days ago,Not Disclosed

Huquo,2-5 Yrs,2-5 Years Of Total Experience Of Data Analytics / Data Insights Generation;- Experience In Credit Card,Business Analyst/Senior Business Analyst - Data Analytics- Bfsi Domain,"Business Analysis, Excel, Data Analytics, Sas, Vba, Problem Solving",https://www.naukri.com/job-listings-Business-Analyst-senior-Business-Analyst-Data-Analytics-BFSI-Domain-HuQuo-Delhi-NCR-Bengaluru-Gurgaon-2-to-5-years-230818900443?src=jobsearchDesk&sid=15376475157970&xp=27&px=1,"Delhi NCR, Bengaluru, Gurgaon",HuQuo Consulting,25 days ago,Not Disclosed

Hr Synergy,5-10 Yrs,Experience In Managing Multiple Concurrent Initiatives From Multiple Regions Or Clients;SelfDriven And,Senior Associate Data Analytics - Big4,"Auditing, Data Analytics, Process Improvement, Analytics, Sql, Ssis, Ssrs",https://www.naukri.com/job-listings-Senior-Associate-Data-Analytics-Big4-HR-SYNERGY-Gurgaon-Trivandrum-5-to-10-years-140818900615?src=jobsearchDesk&sid=15376475157970&xp=28&px=1,"Gurgaon, Trivandrum",N/A,31 days ago,Not Disclosed

Huquo,10-12 Yrs,This Position Must Be Able To Advise And Collaborate With Business Users And Subject Matter Experts To,Avp - Cognitive Technologies Architect - Nlp/Machine/Deep Learning,"Deep Learning, Natural Language Processing, Nlp, Machine Learning, Java",https://www.naukri.com/job-listings-AVP-Cognitive-Technologies-Architect-Nlp-machine-deep-Learning-HuQuo-Bengaluru-Gurgaon-10-to-12-years-210918900952?src=jobsearchDesk&sid=15376475157970&xp=29&px=1,"Bengaluru, Gurgaon",Ranjeet Singh,2 days ago,Not Disclosed

